iter	CrossEntropy
0	0.6745501579
1	0.6590301005
2	0.6447605111
3	0.6347298395
4	0.6274570086
5	0.623413096
6	0.6169893146
7	0.6115618426
8	0.6071176064
9	0.603425914
10	0.6006346985
11	0.5979299285
12	0.5950601048
13	0.5926463182
14	0.5908741431
15	0.5888127786
16	0.587444464
17	0.5860036911
18	0.5850232093
19	0.5835733134
20	0.5829744254
21	0.5819034584
22	0.5808666785
23	0.5801730947
24	0.5797838971
25	0.5790271105
26	0.5783431517
27	0.5779039988
28	0.5774619929
29	0.5772379143
30	0.5769232329
31	0.5762346157
32	0.5757745993
33	0.5754108573
34	0.5753651803
35	0.5751575952
36	0.5750180008
37	0.5746736951
38	0.5743103758
39	0.5742887584
40	0.574102997
41	0.5738151765
42	0.573661578
43	0.5728152778
44	0.5725983341
45	0.5724537507
46	0.5721780447
47	0.5720751265
48	0.5719826516
49	0.571779202
50	0.5713025887
51	0.5710803194
52	0.5709061786
53	0.5706518229
54	0.5704817957
55	0.5702972957
56	0.5701830759
57	0.5699023629
58	0.5698903573
59	0.5698903334
60	0.5696973349
61	0.5696247645
62	0.5692492129
63	0.5690220124
64	0.568825336
65	0.5684841991
66	0.5681945831
67	0.5680999565
68	0.5680137181
69	0.5680067215
70	0.5677995443
71	0.5677994325
72	0.5676067412
73	0.5674788514
74	0.567323161
75	0.5673227077
76	0.5672580573
77	0.5672114019
78	0.5671457786
79	0.567032585
80	0.5670086072
81	0.566921727
82	0.5667547519
83	0.5665768368
84	0.5663466795
85	0.5658368374
86	0.5656147089
87	0.5655518444
88	0.5653596147
89	0.5651439917
90	0.5648336775
91	0.5645746927
92	0.5644634345
93	0.5641108139
94	0.5639601461
95	0.5639598311
96	0.5636964983
97	0.5635439207
98	0.5633744396
99	0.5632489565
100	0.5630539622
101	0.5629827457
102	0.5627661014
103	0.5626499766
104	0.5622037298
105	0.5620032884
106	0.5619402902
107	0.5618171167
108	0.561756683
109	0.5615344928
110	0.5614811948
111	0.5610260248
112	0.5608179989
113	0.560367055
114	0.5601768649
115	0.5600734862
116	0.5599211239
117	0.559750462
118	0.5595884977
119	0.5593938056
120	0.5593030348
121	0.5590920001
122	0.5590357438
123	0.5589504817
124	0.5588318917
125	0.558659534
126	0.5585984012
127	0.5585091802
128	0.5581402089
129	0.5580010624
130	0.5576122763
131	0.5575886186
132	0.5575241186
133	0.5573960265
134	0.5570243284
135	0.5568707123
136	0.5567804861
137	0.5566916393
138	0.5561268744
139	0.5560666537
140	0.5556460824
141	0.5551897165
142	0.555109136
143	0.5550002961
144	0.554917288
145	0.5546331493
146	0.5544749779
147	0.5543615554
148	0.5538315295
149	0.5537726257
150	0.5535498991
151	0.5533034346
152	0.5531870027
153	0.5529738286
154	0.5528182886
155	0.5525392237
156	0.5523413123
157	0.5521588583
158	0.5521169249
159	0.5519809717
160	0.5519061618
161	0.5517334539
162	0.5516177537
163	0.5514182627
164	0.551277916
165	0.5511665358
166	0.5511185556
167	0.5510358487
168	0.5507734879
169	0.5507141869
170	0.550601332
171	0.5504300947
172	0.5503762731
173	0.5502809633
174	0.5502424537
175	0.5499636179
176	0.5497361983
177	0.549661014
178	0.5495425063
179	0.5492560417
180	0.5491819598
181	0.5491415241
182	0.5490604688
183	0.5490588942
184	0.5489093852
185	0.5488153402
186	0.5484638965
187	0.5483519222
188	0.5483271231
189	0.548277217
190	0.5481227297
191	0.5480757247
192	0.5478401515
193	0.5477177136
194	0.5476699303
195	0.54766059
196	0.5475137129
197	0.547460477
198	0.5472981403
199	0.5472508542
200	0.5471744129
201	0.5470098831
202	0.5469826204
203	0.5467892971
204	0.5466721555
205	0.5466398152
206	0.5464532047
207	0.5463256673
208	0.5462648
209	0.5462223381
210	0.546148695
211	0.5461410514
212	0.5460376155
213	0.5459440401
214	0.5457039317
215	0.5456628662
216	0.5456175658
217	0.5454658739
218	0.5453352118
219	0.5450260595
220	0.5449974801
221	0.5449958338
222	0.5449324548
223	0.5448647971
224	0.5446691746
225	0.5443535531
226	0.5442646805
227	0.5441283257
228	0.5440487047
229	0.5439815122
230	0.5438939163
231	0.5436824316
232	0.5435676216
233	0.5434714184
234	0.5434676723
235	0.5433785326
236	0.5433151368
237	0.5432896307
238	0.543168256
239	0.5430106211
240	0.5429367938
241	0.5428923394
242	0.5428086238
243	0.5427724665
244	0.5427097244
245	0.5425815235
246	0.5425005692
247	0.5423943782
248	0.5423356295
249	0.5422533511
250	0.5422187707
251	0.5421522975
252	0.5420760125
253	0.5420222088
254	0.5419305843
255	0.5418737365
256	0.5418279505
257	0.5416537827
258	0.5416065585
259	0.5416064933
260	0.5415806842
261	0.5415162478
262	0.5414503142
263	0.5413993768
264	0.5411743373
265	0.5411325135
266	0.5411324402
267	0.5411047151
268	0.5409356662
269	0.5406660843
270	0.540553431
